exposure_time-g	exposure_time-r	exposure_time-z	magnitude_zero_point-g	magnitude_zero_point-r	magnitude_zero_point-z
300.0	170.0	50.0	32.767563	32.437103	30.775778
90.0	31.0	94.0	31.570997	30.517605	31.426277
40.0	40.0	90.0	30.631178	30.810677	31.382053
72.0	40.0	88.0	31.232224	30.803806	31.240753
129.0	89.0	80.0	31.771494	31.561852	31.151855
90.0	41.0	56.0	31.56534	30.80665	30.854439
90.0	39.0	56.0	31.551867	30.794596	30.839005
83.0	69.0	153.0	31.356611	31.414318	31.906086
90.0	50.0	121.0	31.576115	31.134224	31.77113
90.0	90.0	90.0	31.504824	31.679716	31.283913
90.0	30.0	90.0	31.417095	30.543585	31.366795
90.0	43.0	56.0	31.551666	30.871193	30.847317
90.0	90.0	93.0	31.468067	31.664776	31.351204
40.0	150.0	90.0	30.664896	32.207344	31.352844
90.0	120.0	66.0	31.595879	31.914616	30.978603
80.0	60.0	60.0	31.449371	31.285091	30.883614
90.0	100.0	90.0	31.527727	31.681942	31.33309
90.0	60.0	56.0	31.569374	31.331898	30.847513
30.0	30.0	90.0	30.333115	30.493322	31.222378
90.0	41.0	80.0	31.333233	30.685686	31.219595
96.0	50.0	30.0	31.523548	30.985106	30.095081
90.0	62.0	64.0	31.572178	31.21429	30.859985
90.0	120.0	90.0	31.572937	31.913925	31.252228
65.0	60.0	163.0	31.138226	31.231144	31.961792
90.0	100.0	90.0	31.581482	31.822111	31.371038
90.0	150.0	125.0	31.587616	32.288124	31.736376
200.0	200.0	60.0	32.448967	32.60672	30.99169
100.0	120.0	90.0	31.613298	31.98845	31.360792
40.0	150.0	90.0	30.639315	32.296032	31.226643
90.0	90.0	90.0	31.42006	31.689817	31.351637
86.0	86.0	90.0	31.440304	31.570377	31.297142
267.0	267.0	333.0	32.5388	32.75459	32.429996
96.0	50.0	30.0	31.529572	30.994999	30.078693
90.0	46.0	114.0	31.362602	30.864862	31.56914
90.0	90.0	123.0	31.572721	31.65322	31.720156
90.0	90.0	90.0	31.390623	31.689686	31.278852
300.0	86.0	250.0	32.718346	31.552467	32.299686
96.0	30.0	30.0	31.683344	30.570919	30.149527
90.0	250.0	77.0	31.562366	32.753902	31.04971
90.0	42.0	70.0	31.626814	30.953505	31.126736
300.0	300.0	80.0	32.628357	32.916107	31.18224
80.0	161.0	184.0	31.207067	32.336617	32.031773
90.0	30.0	50.0	31.56395	30.590569	30.749851
60.0	150.0	90.0	30.96965	32.207333	31.332188
90.0	90.0	90.0	31.550104	31.67482	31.350021
90.0	30.0	60.0	31.568295	30.43081	30.79168
60.0	100.0	90.0	30.9414	31.841188	31.309801
90.0	90.0	61.0	31.477856	31.674042	30.930054
100.0	100.0	82.0	31.581568	31.803516	31.228266
90.0	120.0	83.0	31.606758	31.919228	31.23172
100.0	150.0	120.0	31.59557	32.235725	31.65433
174.0	150.0	135.0	32.239586	32.338036	31.766735
90.0	61.0	56.0	31.56615	31.347443	30.847221
90.0	90.0	120.0	31.520992	31.683176	31.396662
100.0	150.0	50.0	31.611286	32.18329	30.745995
100.0	100.0	70.0	31.603472	31.81277	31.107649
90.0	30.0	113.0	31.41439	30.433798	31.539036
96.0	30.0	30.0	31.688002	30.56129	30.197027
90.0	90.0	60.0	31.480566	31.65086	31.002739
90.0	35.0	79.0	31.573307	30.630499	31.163479
90.0	70.0	90.0	31.637383	31.272387	31.132465
90.0	150.0	90.0	31.560839	32.23027	31.24222
90.0	30.0	30.0	31.58522	30.444006	30.164764
100.0	210.0	97.0	31.623917	32.589268	31.429657
100.0	150.0	90.0	31.615768	32.223095	31.302769
100.0	150.0	98.0	31.621607	32.227642	31.569832
90.0	100.0	90.0	31.408249	31.809603	31.27845
267.0	90.0	119.0	32.670628	31.697271	31.623444
86.0	86.0	80.0	31.43489	31.577888	31.173414
154.0	40.0	159.0	31.976562	30.795422	31.861809
200.0	125.0	80.0	32.24967	31.974669	31.266594
125.0	41.0	282.0	31.939833	30.874138	32.586906
116.0	86.0	80.0	31.773926	31.56932	31.184011
88.0	59.0	100.0	31.561981	31.24052	31.502903
111.0	57.0	89.0	31.686184	31.204214	31.162899
132.0	180.0	155.0	31.738049	32.415127	31.92238
200.0	90.0	240.0	32.391914	31.682564	32.459873
90.0	43.0	168.0	31.546618	30.923182	32.060307
250.0	250.0	90.0	32.57971	32.766834	31.38901
90.0	90.0	188.0	31.530552	31.649485	32.239952
100.0	210.0	50.0	31.619553	32.590992	30.741793
120.0	120.0	90.0	31.71036	31.923893	31.285595
90.0	90.0	259.0	31.395018	31.601273	32.434143
96.0	120.0	30.0	31.66792	31.95551	30.152578
119.0	90.0	80.0	31.787344	31.668304	31.178976
200.0	90.0	240.0	32.39277	31.67748	32.47551
90.0	53.0	149.0	31.415424	30.973757	31.932407
260.0	225.0	250.0	32.527966	32.575104	32.434856
90.0	30.0	90.0	31.586714	30.570665	31.360579
30.0	71.0	240.0	30.352554	31.445799	32.46067
100.0	100.0	70.0	31.56306	31.817396	31.0932
90.0	100.0	114.0	31.608746	31.800253	31.727308
96.0	30.0	30.0	31.668749	30.568176	30.205248
90.0	30.0	125.0	31.417343	30.503677	31.690252
100.0	120.0	153.0	31.598766	31.987373	31.977293
90.0	150.0	90.0	31.555716	32.24389	31.23784
